"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 24 21:33:50 GMT 2025","Mon Mar 24 21:33:50 GMT 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_Inactive","testGetUserStatus_Inactive()",""
"passed","Mon Mar 24 21:33:47 GMT 2025","Mon Mar 24 21:33:47 GMT 2025","26","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testMonthlyActivityMissingParameters","testMonthlyActivityMissingParameters()",""
"passed","Mon Mar 24 21:33:47 GMT 2025","Mon Mar 24 21:33:47 GMT 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testInactiveUsersMissingDays","testInactiveUsersMissingDays()",""
"passed","Mon Mar 24 21:33:47 GMT 2025","Mon Mar 24 21:33:47 GMT 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRegisterMissingUserName","testRegisterMissingUserName()",""
"passed","Mon Mar 24 21:33:47 GMT 2025","Mon Mar 24 21:33:47 GMT 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionInvalidUserId","testRecordSessionInvalidUserId()",""
"passed","Mon Mar 24 21:33:50 GMT 2025","Mon Mar 24 21:33:50 GMT 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_HighlyActive","testGetUserStatus_HighlyActive()",""
"passed","Mon Mar 24 21:33:47 GMT 2025","Mon Mar 24 21:33:47 GMT 2025","41","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionMissingParameters","testRecordSessionMissingParameters()",""
"passed","Mon Mar 24 21:33:48 GMT 2025","Mon Mar 24 21:33:49 GMT 2025","1957","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_Active","testGetUserStatus_Active()",""
"passed","Mon Mar 24 21:33:45 GMT 2025","Mon Mar 24 21:33:47 GMT 2025","1923","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration","Тест регистрации пользователя",""
"passed","Mon Mar 24 21:33:50 GMT 2025","Mon Mar 24 21:33:50 GMT 2025","11","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_NoSessions","testGetUserStatus_NoSessions()",""
"passed","Mon Mar 24 21:33:47 GMT 2025","Mon Mar 24 21:33:48 GMT 2025","14","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivityMissingUserId","testGetTotalActivityMissingUserId()",""
"passed","Mon Mar 24 21:33:47 GMT 2025","Mon Mar 24 21:33:47 GMT 2025","54","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivity","Тест получения общего времени активности",""
"passed","Mon Mar 24 21:33:47 GMT 2025","Mon Mar 24 21:33:47 GMT 2025","20","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRegisterMissingUserId","testRegisterMissingUserId()",""
"passed","Mon Mar 24 21:33:47 GMT 2025","Mon Mar 24 21:33:47 GMT 2025","22","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession","Тест записи сессии",""
"passed","Mon Mar 24 21:33:47 GMT 2025","Mon Mar 24 21:33:47 GMT 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testMonthlyActivityInvalidUserId","testMonthlyActivityInvalidUserId()",""
"passed","Mon Mar 24 21:33:47 GMT 2025","Mon Mar 24 21:33:47 GMT 2025","12","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testInactiveUsersWrongDaysFormat","testInactiveUsersWrongDaysFormat()",""
